name,type,trm_code,units,physical_quantity,min_temperature,max_temperature,int_code
Pt 50,Термометр сопротивления,r385,Ом,Сопротивление,-200,750,1
Pt 100,Термометр сопротивления,r.385,Ом,Сопротивление,-200,750,2
50П,Термометр сопротивления,r391,Ом,Сопротивление,-200,750,3
100П,Термометр сопротивления,r.391,Ом,Сопротивление,-200,750,4
46П,Термометр сопротивления,r-21,Ом,Сопротивление,-200,650,5
Cu 100,Термометр сопротивления,r426,Ом,Сопротивление,-50,200,6
Cu 50,Термометр сопротивления,r.426,Ом,Сопротивление,-50,200,7
53М,Термометр сопротивления,r-23,Ом,Сопротивление,-50,200,8
50М,Термометр сопротивления,r428,Ом,Сопротивление,-190,200,9
100М,Термометр сопротивления,r.428,Ом,Сопротивление,-190,200,10
ТВР (A-1),Термопара,E_A1,мВ,Напряжение,0,2500,11
ТВР (A-2),Термопара,E_A2,мВ,Напряжение,0,1800,12
ТВР (A-3),Термопара,E_A3,мВ,Напряжение,0,1800,13
ТПР (B),Термопара,E__B,мВ,Напряжение,200,1800,14
ТЖК (J),Термопара,E__J,мВ,Напряжение,-200,1200,15
ТХА (K),Термопара,E__K,мВ,Напряжение,-200,1300,16
ТХК (L),Термопара,E__L,мВ,Напряжение,-200,800,17
ТНН (N),Термопара,E__N,мВ,Напряжение,-200,1300,18
ТПП (R),Термопара,E__R,мВ,Напряжение,0,1750,19
ТПП (S),Термопара,E__S,мВ,Напряжение,0,1750,20
ТМК (T),Термопара,E__T,мВ,Напряжение,-200,400,21
Сигнал тока от 0 до 5 мА,Унифицированный аналоговый сигнал,i0_5,мВ,Напряжение,0,100,22
Сигнал тока от 0 до 20 мА,Унифицированный аналоговый сигнал,i0.20,мВ,Напряжение,0,100,23
Сигнал тока от 4 до 20 мА,Унифицированный аналоговый сигнал,i4.20,мВ,Напряжение,0,100,24
Сигнал напряжения от -50 до 50 мВ,Унифицированный аналоговый сигнал,U-50,мВ,Напряжение,0,100,25
Сигнал напряжения от 0 до 1 В,Унифицированный аналоговый сигнал,U0_1,В,Напряжение,0,100,26
